Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value%
Afghanistan,F,Education,Higher,... if she burns the food,2015,10.1
Afghanistan,F,Education,Secondary,... if she burns the food,2015,13.7
Afghanistan,F,Education,Primary,... if she burns the food,2015,13.8
Afghanistan,F,Education,No education,... if she burns the food,2015,19.1
Afghanistan,M,Education,Higher,... if she burns the food,2015,4.5
Afghanistan,M,Education,Primary,... if she burns the food,2015,6.3
Afghanistan,M,Education,Secondary,... if she burns the food,2015,7.1
Afghanistan,M,Education,No education,... if she burns the food,2015,10.6
Afghanistan,F,Education,Higher,... for at least one specific reason,2015,61.1
Afghanistan,F,Education,No education,... for at least one specific reason,2015,81
Afghanistan,F,Education,Primary,... for at least one specific reason,2015,79.8
Afghanistan,F,Education,Secondary,... for at least one specific reason,2015,76
Afghanistan,F,Education,Higher,... if she argues with him,2015,37.7
Afghanistan,F,Education,No education,... if she argues with him,2015,60.2
Afghanistan,F,Education,Primary,... if she argues with him,2015,56.9
Afghanistan,F,Education,Secondary,... if she argues with him,2015,55.4
Afghanistan,F,Education,Higher,... if she goes out without telling him,2015,41.1
Afghanistan,F,Education,No education,... if she goes out without telling him,2015,68.4
Afghanistan,F,Education,Primary,... if she goes out without telling him,2015,64.1
Afghanistan,F,Education,Secondary,... if she goes out without telling him,2015,58.2
Afghanistan,F,Education,Higher,... if she neglects the children,2015,33.4
Afghanistan,F,Education,No education,... if she neglects the children,2015,48.9
Afghanistan,F,Education,Primary,... if she neglects the children,2015,50.6
Afghanistan,F,Education,Secondary,... if she neglects the children,2015,44.4
Afghanistan,F,Education,Higher,... if she refuses to have sex with him,2015,10.8
Afghanistan,F,Education,No education,... if she refuses to have sex with him,2015,34.2
Afghanistan,F,Education,Primary,... if she refuses to have sex with him,2015,35.9
Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,2015,26.6
Afghanistan,M,Education,Higher,... for at least one specific reason,2015,55.5
Afghanistan,M,Education,No education,... for at least one specific reason,2015,77.4
Afghanistan,M,Education,Primary,... for at least one specific reason,2015,68.1
Afghanistan,M,Education,Secondary,... for at least one specific reason,2015,69.6
Afghanistan,M,Education,Higher,... if she argues with him,2015,31.4
Afghanistan,M,Education,No education,... if she argues with him,2015,50.2
Afghanistan,M,Education,Primary,... if she argues with him,2015,41
Afghanistan,M,Education,Secondary,... if she argues with him,2015,42.8
Afghanistan,M,Education,Higher,... if she goes out without telling him,2015,43.6
Afghanistan,M,Education,No education,... if she goes out without telling him,2015,66
Afghanistan,M,Education,Primary,... if she goes out without telling him,2015,55.9
Afghanistan,M,Education,Secondary,... if she goes out without telling him,2015,59.5
Afghanistan,M,Education,Higher,... if she neglects the children,2015,20.9
Afghanistan,M,Education,No education,... if she neglects the children,2015,29.7
Afghanistan,M,Education,Primary,... if she neglects the children,2015,22.3
Afghanistan,M,Education,Secondary,... if she neglects the children,2015,23
Afghanistan,M,Education,Higher,... if she refuses to have sex with him,2015,11.9
Afghanistan,M,Education,No education,... if she refuses to have sex with him,2015,23.2
Afghanistan,M,Education,Primary,... if she refuses to have sex with him,2015,17.4
Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,2015,15.9
Albania,F,Education,Higher,... if she burns the food,2017,0.2
Albania,F,Education,Secondary,... if she burns the food,2017,0.6
Albania,F,Education,Primary,... if she burns the food,2017,1.3
Albania,F,Education,No education,... if she burns the food,2017,5.8
Albania,M,Education,No education,... if she burns the food,2017,0
Albania,M,Education,Secondary,... if she burns the food,2017,0.2
Albania,M,Education,Higher,... if she burns the food,2017,0.8
Albania,M,Education,Primary,... if she burns the food,2017,0.8
Albania,F,Education,Higher,... for at least one specific reason,2017,1.4
Albania,F,Education,No education,... for at least one specific reason,2017,26.3
Albania,F,Education,Primary,... for at least one specific reason,2017,11.1
Albania,F,Education,Secondary,... for at least one specific reason,2017,5.5
Albania,F,Education,Higher,... if she argues with him,2017,0.4
Albania,F,Education,No education,... if she argues with him,2017,11.7
Albania,F,Education,Primary,... if she argues with him,2017,3.2
Albania,F,Education,Secondary,... if she argues with him,2017,1.1
Albania,F,Education,Higher,... if she goes out without telling him,2017,0.3
Albania,F,Education,No education,... if she goes out without telling him,2017,14.9
Albania,F,Education,Primary,... if she goes out without telling him,2017,6.9
Albania,F,Education,Secondary,... if she goes out without telling him,2017,2.4
Albania,F,Education,Higher,... if she neglects the children,2017,1.1
Albania,F,Education,No education,... if she neglects the children,2017,21.1
Albania,F,Education,Primary,... if she neglects the children,2017,8.6
Albania,F,Education,Secondary,... if she neglects the children,2017,4.2
Albania,F,Education,Higher,... if she refuses to have sex with him,2017,0.1
Albania,F,Education,No education,... if she refuses to have sex with him,2017,6.3
Albania,F,Education,Primary,... if she refuses to have sex with him,2017,1.5
Albania,F,Education,Secondary,... if she refuses to have sex with him,2017,0.6
Albania,M,Education,Higher,... for at least one specific reason,2017,5.4
Albania,M,Education,No education,... for at least one specific reason,2017,26.6
Albania,M,Education,Primary,... for at least one specific reason,2017,14.6
Albania,M,Education,Secondary,... for at least one specific reason,2017,11.2
Albania,M,Education,Higher,... if she argues with him,2017,2.2
Albania,M,Education,No education,... if she argues with him,2017,15.3
Albania,M,Education,Primary,... if she argues with him,2017,5.9
Albania,M,Education,Secondary,... if she argues with him,2017,3.2
Albania,M,Education,Higher,... if she goes out without telling him,2017,2.7
Albania,M,Education,No education,... if she goes out without telling him,2017,25.4
Albania,M,Education,Primary,... if she goes out without telling him,2017,9
Albania,M,Education,Secondary,... if she goes out without telling him,2017,5.9
Albania,M,Education,Higher,... if she neglects the children,2017,3.8
Albania,M,Education,No education,... if she neglects the children,2017,22.3
Albania,M,Education,Primary,... if she neglects the children,2017,9.6
Albania,M,Education,Secondary,... if she neglects the children,2017,8.4
Albania,M,Education,Higher,... if she refuses to have sex with him,2017,0.7
Albania,M,Education,No education,... if she refuses to have sex with him,2017,13.8
Albania,M,Education,Primary,... if she refuses to have sex with him,2017,3.1
Albania,M,Education,Secondary,... if she refuses to have sex with him,2017,1.7
Angola,F,Education,Higher,... if she burns the food,2015,0.9
Angola,F,Education,Secondary,... if she burns the food,2015,5.3
Angola,F,Education,Primary,... if she burns the food,2015,13.4
Angola,F,Education,No education,... if she burns the food,2015,17.3
Angola,M,Education,Higher,... if she burns the food,2015,0.7
Angola,M,Education,Secondary,... if she burns the food,2015,5
Angola,M,Education,Primary,... if she burns the food,2015,8.1
Angola,M,Education,No education,... if she burns the food,2015,10.8
Angola,F,Education,Higher,... for at least one specific reason,2015,7
Angola,F,Education,No education,... for at least one specific reason,2015,34.5
Angola,F,Education,Primary,... for at least one specific reason,2015,30.9
Angola,F,Education,Secondary,... for at least one specific reason,2015,16.8
Angola,F,Education,Higher,... if she argues with him,2015,3
Angola,F,Education,No education,... if she argues with him,2015,23.9
Angola,F,Education,Primary,... if she argues with him,2015,19.1
Angola,F,Education,Secondary,... if she argues with him,2015,8.2
Angola,F,Education,Higher,... if she goes out without telling him,2015,2.8
Angola,F,Education,No education,... if she goes out without telling him,2015,21
Angola,F,Education,Primary,... if she goes out without telling him,2015,18.5
Angola,F,Education,Secondary,... if she goes out without telling him,2015,8.5
Angola,F,Education,Higher,... if she neglects the children,2015,4.2
Angola,F,Education,No education,... if she neglects the children,2015,22.3
Angola,F,Education,Primary,... if she neglects the children,2015,20.1
Angola,F,Education,Secondary,... if she neglects the children,2015,10.8
Angola,F,Education,Higher,... if she refuses to have sex with him,2015,2.5
Angola,F,Education,No education,... if she refuses to have sex with him,2015,19.9
Angola,F,Education,Primary,... if she refuses to have sex with him,2015,14.2
Angola,F,Education,Secondary,... if she refuses to have sex with him,2015,5.3
Angola,M,Education,Higher,... for at least one specific reason,2015,3.9
Angola,M,Education,No education,... for at least one specific reason,2015,26.7
Angola,M,Education,Primary,... for at least one specific reason,2015,26.2
Angola,M,Education,Secondary,... for at least one specific reason,2015,18.1
Angola,M,Education,Higher,... if she argues with him,2015,1.6
Angola,M,Education,No education,... if she argues with him,2015,15.9
Angola,M,Education,Primary,... if she argues with him,2015,14.9
Angola,M,Education,Secondary,... if she argues with him,2015,9.2
Angola,M,Education,Higher,... if she goes out without telling him,2015,1.6
Angola,M,Education,No education,... if she goes out without telling him,2015,13.4
Angola,M,Education,Primary,... if she goes out without telling him,2015,11.2
Angola,M,Education,Secondary,... if she goes out without telling him,2015,6.8
Angola,M,Education,Higher,... if she neglects the children,2015,1.8
Angola,M,Education,No education,... if she neglects the children,2015,18.3
Angola,M,Education,Primary,... if she neglects the children,2015,17.1
Angola,M,Education,Secondary,... if she neglects the children,2015,9.1
Angola,M,Education,Higher,... if she refuses to have sex with him,2015,0.6
Angola,M,Education,No education,... if she refuses to have sex with him,2015,11.2
Angola,M,Education,Primary,... if she refuses to have sex with him,2015,7.6
Angola,M,Education,Secondary,... if she refuses to have sex with him,2015,4.4
Armenia,F,Education,Higher,... if she burns the food,2015,0
Armenia,F,Education,Primary,... if she burns the food,2015,0.1
Armenia,F,Education,Secondary,... if she burns the food,2015,0.9
Armenia,M,Education,Higher,... if she burns the food,2015,0.6
Armenia,M,Education,Secondary,... if she burns the food,2015,0.6
Armenia,M,Education,Primary,... if she burns the food,2015,1
Armenia,F,Education,Higher,... for at least one specific reason,2015,6.6
Armenia,F,Education,Primary,... for at least one specific reason,2015,12
Armenia,F,Education,Secondary,... for at least one specific reason,2015,14.4
Armenia,F,Education,Higher,... if she argues with him,2015,3.9
Armenia,F,Education,Primary,... if she argues with him,2015,5.3
Armenia,F,Education,Secondary,... if she argues with him,2015,9.2
Armenia,F,Education,Higher,... if she goes out without telling him,2015,2.7
Armenia,F,Education,Primary,... if she goes out without telling him,2015,5.4
Armenia,F,Education,Secondary,... if she goes out without telling him,2015,8.7
Armenia,F,Education,Higher,... if she neglects the children,2015,5.5
Armenia,F,Education,Primary,... if she neglects the children,2015,9.4
Armenia,F,Education,Secondary,... if she neglects the children,2015,12.6
Armenia,F,Education,Higher,... if she refuses to have sex with him,2015,0.3
Armenia,F,Education,Primary,... if she refuses to have sex with him,2015,1.5
Armenia,F,Education,Secondary,... if she refuses to have sex with him,2015,1.2
