Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value%
Afghanistan,F,Employment,Employed for kind,... if she burns the food,2015,17
Afghanistan,F,Employment,Unemployed,... if she burns the food,2015,18
Afghanistan,F,Employment,Employed for cash,... if she burns the food,2015,20.8
Afghanistan,M,Employment,Unemployed,... if she burns the food,2015,5.2
Afghanistan,M,Employment,Employed for cash,... if she burns the food,2015,8.4
Afghanistan,M,Employment,Employed for kind,... if she burns the food,2015,10.7
Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,2015,80.2
Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,2015,86.9
Afghanistan,F,Employment,Unemployed,... for at least one specific reason,2015,80.1
Afghanistan,F,Employment,Employed for cash,... if she argues with him,2015,57.8
Afghanistan,F,Employment,Employed for kind,... if she argues with him,2015,53.5
Afghanistan,F,Employment,Unemployed,... if she argues with him,2015,59.8
Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,2015,66.7
Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,2015,68
Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,2015,67
Afghanistan,F,Employment,Employed for cash,... if she neglects the children,2015,48.1
Afghanistan,F,Employment,Employed for kind,... if she neglects the children,2015,49.3
Afghanistan,F,Employment,Unemployed,... if she neglects the children,2015,48.6
Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,2015,32.5
Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,2015,31.4
Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,2015,33.7
Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,2015,72.6
Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,2015,73.5
Afghanistan,M,Employment,Unemployed,... for at least one specific reason,2015,67.4
Afghanistan,M,Employment,Employed for cash,... if she argues with him,2015,45.5
Afghanistan,M,Employment,Employed for kind,... if she argues with him,2015,47.8
Afghanistan,M,Employment,Unemployed,... if she argues with him,2015,41.1
Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,2015,60.9
