Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value%
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,13.8
Afghanistan,F,Marital status,Married or living together,... if she burns the food,2015,18.3
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,6.3
Afghanistan,M,Marital status,Married or living together,... if she burns the food,2015,8.5
Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,2015,80.6
Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,67.6
Afghanistan,F,Marital status,Married or living together,... if she argues with him,2015,59.5
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,51.5
Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,2015,67.1
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,58.5
Afghanistan,F,Marital status,Married or living together,... if she neglects the children,2015,48.6
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,43.1
Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,2015,33.5
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,29.1
Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,2015,72.6
Afghanistan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,48.8
Afghanistan,M,Marital status,Married or living together,... if she argues with him,2015,45.5
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,35.1
Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,2015,61.3
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,36.5
Afghanistan,M,Marital status,Married or living together,... if she neglects the children,2015,26.1
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,29.3
Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,2015,19.7
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,5
Albania,F,Marital status,Never married,... if she burns the food,2017,0.6
Albania,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2017,0.6
Albania,F,Marital status,Married or living together,... if she burns the food,2017,0.9
Albania,M,Marital status,Never married,... if she burns the food,2017,0.4
Albania,M,Marital status,Married or living together,... if she burns the food,2017,0.6
Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2017,1.6
Albania,F,Marital status,Married or living together,... for at least one specific reason,2017,7.9
Albania,F,Marital status,Never married,... for at least one specific reason,2017,4.3
Albania,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2017,7
Albania,F,Marital status,Married or living together,... if she argues with him,2017,2
Albania,F,Marital status,Never married,... if she argues with him,2017,1.1
Albania,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2017,3.4
Albania,F,Marital status,Married or living together,... if she goes out without telling him,2017,4.6
Albania,F,Marital status,Never married,... if she goes out without telling him,2017,1.7
Albania,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2017,2.3
Albania,F,Marital status,Married or living together,... if she neglects the children,2017,6.1
Albania,F,Marital status,Never married,... if she neglects the children,2017,3.2
Albania,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2017,5.1
Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,2017,1
Albania,F,Marital status,Never married,... if she refuses to have sex with him,2017,0.5
Albania,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2017,1.1
Albania,M,Marital status,Married or living together,... for at least one specific reason,2017,11.7
Albania,M,Marital status,Never married,... for at least one specific reason,2017,10.6
Albania,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2017,29.7
Albania,M,Marital status,Married or living together,... if she argues with him,2017,4.1
Albania,M,Marital status,Never married,... if she argues with him,2017,3.8
Albania,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2017,13.1
Albania,M,Marital status,Married or living together,... if she goes out without telling him,2017,7.7
Albania,M,Marital status,Never married,... if she goes out without telling him,2017,5.1
Albania,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2017,16.7
Albania,M,Marital status,Married or living together,... if she neglects the children,2017,8.5
Albania,M,Marital status,Never married,... if she neglects the children,2017,7.2
Albania,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,2017,24.5
Albania,M,Marital status,Married or living together,... if she refuses to have sex with him,2017,1.3
Albania,M,Marital status,Never married,... if she refuses to have sex with him,2017,2.8
Albania,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2017,4.6
Angola,F,Marital status,Never married,... if she burns the food,2015,9.8
Angola,F,Marital status,Married or living together,... if she burns the food,2015,10.8
Angola,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,12.2
Angola,M,Marital status,Married or living together,... if she burns the food,2015,4.4
Angola,M,Marital status,Never married,... if she burns the food,2015,7.3
Angola,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,9.3
Angola,F,Marital status,Married or living together,... for at least one specific reason,2015,27.2
Angola,F,Marital status,Never married,... for at least one specific reason,2015,21.1
Angola,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,28.5
Angola,F,Marital status,Married or living together,... if she argues with him,2015,16.7
Angola,F,Marital status,Never married,... if she argues with him,2015,12.3
Angola,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,17.3
Angola,F,Marital status,Married or living together,... if she goes out without telling him,2015,15.9
Angola,F,Marital status,Never married,... if she goes out without telling him,2015,11.9
Angola,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,15.4
Angola,F,Marital status,Married or living together,... if she neglects the children,2015,17.2
Angola,F,Marital status,Never married,... if she neglects the children,2015,14.1
Angola,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,19
Angola,F,Marital status,Married or living together,... if she refuses to have sex with him,2015,12.5
Angola,F,Marital status,Never married,... if she refuses to have sex with him,2015,8.6
Angola,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,16.2
Angola,M,Marital status,Married or living together,... for at least one specific reason,2015,19.1
Angola,M,Marital status,Never married,... for at least one specific reason,2015,20.6
Angola,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,25.1
Angola,M,Marital status,Married or living together,... if she argues with him,2015,10.5
Angola,M,Marital status,Never married,... if she argues with him,2015,10.6
Angola,M,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,17.4
Angola,M,Marital status,Married or living together,... if she goes out without telling him,2015,8.1
Angola,M,Marital status,Never married,... if she goes out without telling him,2015,8
Angola,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,12.8
