Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value%
Afghanistan,F,Education,Higher,... if she burns the food,2015,10.1
Afghanistan,F,Education,Secondary,... if she burns the food,2015,13.7
Afghanistan,F,Education,Primary,... if she burns the food,2015,13.8
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,13.8
Afghanistan,F,Employment,Employed for kind,... if she burns the food,2015,17
Afghanistan,F,Age,15-24,... if she burns the food,2015,17.3
Afghanistan,F,Employment,Unemployed,... if she burns the food,2015,18
Afghanistan,F,Residence,Rural,... if she burns the food,2015,18.1
Afghanistan,F,Age,25-34,... if she burns the food,2015,18.2
Afghanistan,F,Marital status,Married or living together,... if she burns the food,2015,18.3
Afghanistan,F,Residence,Urban,... if she burns the food,2015,18.3
Afghanistan,F,Age,35-49,... if she burns the food,2015,18.8
Afghanistan,F,Education,No education,... if she burns the food,2015,19.1
Afghanistan,F,Employment,Employed for cash,... if she burns the food,2015,20.8
Afghanistan,M,Education,Higher,... if she burns the food,2015,4.5
Afghanistan,M,Residence,Urban,... if she burns the food,2015,4.6
Afghanistan,M,Employment,Unemployed,... if she burns the food,2015,5.2
Afghanistan,M,Education,Primary,... if she burns the food,2015,6.3
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,6.3
Afghanistan,M,Education,Secondary,... if she burns the food,2015,7.1
Afghanistan,M,Age,25-34,... if she burns the food,2015,8.2
Afghanistan,M,Employment,Employed for cash,... if she burns the food,2015,8.4
Afghanistan,M,Marital status,Married or living together,... if she burns the food,2015,8.5
Afghanistan,M,Age,35-49,... if she burns the food,2015,8.6
Afghanistan,M,Age,15-24,... if she burns the food,2015,9.4
Afghanistan,M,Residence,Rural,... if she burns the food,2015,9.7
Afghanistan,M,Education,No education,... if she burns the food,2015,10.6
Afghanistan,M,Employment,Employed for kind,... if she burns the food,2015,10.7
Afghanistan,F,Age,15-24,... for at least one specific reason,2015,80.1
Afghanistan,F,Age,25-34,... for at least one specific reason,2015,81.5
Afghanistan,F,Age,35-49,... for at least one specific reason,2015,79
Afghanistan,F,Age,15-24,... if she argues with him,2015,57.5
Afghanistan,F,Age,25-34,... if she argues with him,2015,60
Afghanistan,F,Age,35-49,... if she argues with him,2015,59.8
Afghanistan,F,Age,15-24,... if she goes out without telling him,2015,67.7
Afghanistan,F,Age,25-34,... if she goes out without telling him,2015,68.5
Afghanistan,F,Age,35-49,... if she goes out without telling him,2015,64.7
Afghanistan,F,Age,15-24,... if she neglects the children,2015,46.5
Afghanistan,F,Age,25-34,... if she neglects the children,2015,50.2
Afghanistan,F,Age,35-49,... if she neglects the children,2015,48.1
Afghanistan,F,Age,15-24,... if she refuses to have sex with him,2015,32.1
Afghanistan,F,Age,25-34,... if she refuses to have sex with him,2015,34.3
Afghanistan,F,Age,35-49,... if she refuses to have sex with him,2015,33.5
Afghanistan,F,Education,Higher,... for at least one specific reason,2015,61.1
Afghanistan,F,Education,No education,... for at least one specific reason,2015,81
Afghanistan,F,Education,Primary,... for at least one specific reason,2015,79.8
Afghanistan,F,Education,Secondary,... for at least one specific reason,2015,76
Afghanistan,F,Education,Higher,... if she argues with him,2015,37.7
Afghanistan,F,Education,No education,... if she argues with him,2015,60.2
Afghanistan,F,Education,Primary,... if she argues with him,2015,56.9
Afghanistan,F,Education,Secondary,... if she argues with him,2015,55.4
Afghanistan,F,Education,Higher,... if she goes out without telling him,2015,41.1
Afghanistan,F,Education,No education,... if she goes out without telling him,2015,68.4
Afghanistan,F,Education,Primary,... if she goes out without telling him,2015,64.1
Afghanistan,F,Education,Secondary,... if she goes out without telling him,2015,58.2
Afghanistan,F,Education,Higher,... if she neglects the children,2015,33.4
Afghanistan,F,Education,No education,... if she neglects the children,2015,48.9
Afghanistan,F,Education,Primary,... if she neglects the children,2015,50.6
Afghanistan,F,Education,Secondary,... if she neglects the children,2015,44.4
Afghanistan,F,Education,Higher,... if she refuses to have sex with him,2015,10.8
Afghanistan,F,Education,No education,... if she refuses to have sex with him,2015,34.2
Afghanistan,F,Education,Primary,... if she refuses to have sex with him,2015,35.9
Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,2015,26.6
Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,2015,80.2
Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,2015,86.9
Afghanistan,F,Employment,Unemployed,... for at least one specific reason,2015,80.1
Afghanistan,F,Employment,Employed for cash,... if she argues with him,2015,57.8
Afghanistan,F,Employment,Employed for kind,... if she argues with him,2015,53.5
Afghanistan,F,Employment,Unemployed,... if she argues with him,2015,59.8
Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,2015,66.7
Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,2015,68
Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,2015,67
Afghanistan,F,Employment,Employed for cash,... if she neglects the children,2015,48.1
Afghanistan,F,Employment,Employed for kind,... if she neglects the children,2015,49.3
Afghanistan,F,Employment,Unemployed,... if she neglects the children,2015,48.6
Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,2015,32.5
Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,2015,31.4
Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,2015,33.7
Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,2015,80.6
Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,2015,67.6
Afghanistan,F,Marital status,Married or living together,... if she argues with him,2015,59.5
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,2015,51.5
Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,2015,67.1
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2015,58.5
Afghanistan,F,Marital status,Married or living together,... if she neglects the children,2015,48.6
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,2015,43.1
Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,2015,33.5
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,2015,29.1
Afghanistan,F,Residence,Rural,... for at least one specific reason,2015,82.1
Afghanistan,F,Residence,Urban,... for at least one specific reason,2015,74
Afghanistan,F,Residence,Rural,... if she argues with him,2015,60.6
Afghanistan,F,Residence,Urban,... if she argues with him,2015,54.7
Afghanistan,F,Residence,Rural,... if she goes out without telling him,2015,69.3
Afghanistan,F,Residence,Urban,... if she goes out without telling him,2015,58.9
Afghanistan,F,Residence,Rural,... if she neglects the children,2015,48.9
Afghanistan,F,Residence,Urban,... if she neglects the children,2015,46.7
Afghanistan,F,Residence,Rural,... if she refuses to have sex with him,2015,35.2
Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,2015,27.4
Afghanistan,M,Age,15-24,... for at least one specific reason,2015,74.1
Afghanistan,M,Age,25-34,... for at least one specific reason,2015,70.5
Afghanistan,M,Age,35-49,... for at least one specific reason,2015,73.6
Afghanistan,M,Age,15-24,... if she argues with him,2015,44.4
Afghanistan,M,Age,25-34,... if she argues with him,2015,44.6
Afghanistan,M,Age,35-49,... if she argues with him,2015,46.6
Afghanistan,M,Age,15-24,... if she goes out without telling him,2015,63.3
Afghanistan,M,Age,25-34,... if she goes out without telling him,2015,60.4
Afghanistan,M,Age,35-49,... if she goes out without telling him,2015,61
Afghanistan,M,Age,15-24,... if she neglects the children,2015,24.8
Afghanistan,M,Age,25-34,... if she neglects the children,2015,27
Afghanistan,M,Age,35-49,... if she neglects the children,2015,25.7
Afghanistan,M,Age,15-24,... if she refuses to have sex with him,2015,21.3
Afghanistan,M,Age,25-34,... if she refuses to have sex with him,2015,18.5
Afghanistan,M,Age,35-49,... if she refuses to have sex with him,2015,20.1
Afghanistan,M,Education,Higher,... for at least one specific reason,2015,55.5
Afghanistan,M,Education,No education,... for at least one specific reason,2015,77.4
Afghanistan,M,Education,Primary,... for at least one specific reason,2015,68.1
Afghanistan,M,Education,Secondary,... for at least one specific reason,2015,69.6
Afghanistan,M,Education,Higher,... if she argues with him,2015,31.4
Afghanistan,M,Education,No education,... if she argues with him,2015,50.2
Afghanistan,M,Education,Primary,... if she argues with him,2015,41
Afghanistan,M,Education,Secondary,... if she argues with him,2015,42.8
Afghanistan,M,Education,Higher,... if she goes out without telling him,2015,43.6
Afghanistan,M,Education,No education,... if she goes out without telling him,2015,66
Afghanistan,M,Education,Primary,... if she goes out without telling him,2015,55.9
Afghanistan,M,Education,Secondary,... if she goes out without telling him,2015,59.5
Afghanistan,M,Education,Higher,... if she neglects the children,2015,20.9
Afghanistan,M,Education,No education,... if she neglects the children,2015,29.7
Afghanistan,M,Education,Primary,... if she neglects the children,2015,22.3
Afghanistan,M,Education,Secondary,... if she neglects the children,2015,23
Afghanistan,M,Education,Higher,... if she refuses to have sex with him,2015,11.9
Afghanistan,M,Education,No education,... if she refuses to have sex with him,2015,23.2
Afghanistan,M,Education,Primary,... if she refuses to have sex with him,2015,17.4
Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,2015,15.9
Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,2015,72.6
Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,2015,73.5
Afghanistan,M,Employment,Unemployed,... for at least one specific reason,2015,67.4
Afghanistan,M,Employment,Employed for cash,... if she argues with him,2015,45.5
Afghanistan,M,Employment,Employed for kind,... if she argues with him,2015,47.8
Afghanistan,M,Employment,Unemployed,... if she argues with him,2015,41.1
Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,2015,60.9
Afghanistan,M,Employment,Employed for kind,... if she goes out without telling him,2015,65.7
Afghanistan,M,Employment,Unemployed,... if she goes out without telling him,2015,54.8
Afghanistan,M,Employment,Employed for cash,... if she neglects the children,2015,25.6
Afghanistan,M,Employment,Employed for kind,... if she neglects the children,2015,30.6
Afghanistan,M,Employment,Unemployed,... if she neglects the children,2015,31.8
Afghanistan,M,Employment,Employed for cash,... if she refuses to have sex with him,2015,18.9
Afghanistan,M,Employment,Employed for kind,... if she refuses to have sex with him,2015,27.8
Afghanistan,M,Employment,Unemployed,... if she refuses to have sex with him,2015,17
